Day	Time	Location	SCA Name 	Title of Class 	Description
11-Aug	10:00 AM	Dance Tent	Domenico Barbiere Da Mantova	Dance floor assembly	"Please help us put assemble our beautiful parquet dance floor! If you have a portable drill (preferably charged up in advance), please bring it. No skills necessary."
11-Aug	9:00 PM	Dance Tent	Pennsic Dance Staff	Evening Dance	"Come join us for social dancing! Some dances will be taught, some will have a quick talk-through, and some won't be taught. So don't be shy, and ask someone new to dance tonight!"
12-Aug	10:00 AM	Dance Tent	Lyev Davidovitch	New Reconstructions of Arbeau's Branles (16th Century French)	"Have you ever done Horse’s, Maltese, or Branle Official? Here’s a chance to look at Arbeau’s actual instructions. Learn how to reconstruct from Arbeau in the process. For Beginners and up."
12-Aug	11:00 AM	Dance Tent	Adele Desfontaines	Cure Cascarde (16th Century Italian)	"They're cute, quick, and Caroso (16c Italian)! Dancers casually commencing their careers in cavorting can show off courtly carriage in these capers -- La Castellana and Chiara Stella!"
12-Aug	12:00 PM	Dance Tent	Allasan inghean Fhaolain	Intermediate English Country Dancing	"Already know how to set and turn?  This class will cover Upon a Summer's Day, Grimstock, Picking of Sticks, and others depending on time.  Come dance with us!"
12-Aug	1:00 PM	Dance Tent	Lyev Davidovitch	Domenico's 15th Century Italian Dances	"Learn dances as recorded in Domenico's manuscript. We will be doing Belfiore, Lioncello, and others, including his version of Rostiboli Gioioso. Familiarity with 15th century Italian steps is necessary."
12-Aug	2:00 PM	Dance Tent	Henry of Maldon	Quick & Easy Dances	"This class is all about dances that are good for waking dancers up and getting them onto the floor. The dances taught will be Petite Riense, branle de Bourgoigne, branle de la Montarde, Rufty Tufty, and New Boe Peep. For Beginners."
12-Aug	3:00 PM	Dance Tent	Lyev Davidovitch	Intro to Gresley dances (15th century English)	"They're easy, they're English, and they're dated to around 1490! Learn some dances from the notebook of John Baynes (Gresley MS)"
12-Aug	4:00 PM	Dance Tent	Lyev Davidovitch	Dancing for absolute beginners	Did you know that in period both men and women asked people to dance? Learn that and other neat things in this class! 
12-Aug	6:30 PM	Dance Tent	Sion Andreas	If You've Learned One Dance You've Learned Them All	"Can Uncle Sion teach you 17--yes, I did say 17--dances in 2 hours?! He can if he cheats and they're really all the same dance!  Come and see how inventive people got and get with a simple pattern like 2 steps left/1 step right!"
12-Aug	9:00 PM	Dance Tent	Pennsic Dance Staff	Evening Dance	"See ""Evening Dance"" Wed 11-Aug 9pm"
13-Aug	10:00 AM	Dance Tent	Lyev Davidovitch	Ten things 15th century Italian dancers knew 	"Learn the Six Principle Elements of dance and the Four Mesure. Glide gracefully, like a gondola. Fit steps into the ""wrong"" tempi. Familiarity with 15th century Italian steps and a few dances is necessary. For intermediate dancers."
13-Aug	11:00 AM	Dance Tent	Adele	Cute Cascarde II (16th Century Italian)	"Continue the frolic with two more cascarde -- Gracca Amorosa and Lacchio d'Amore!  The double C's inside each name stand for ""Cute Cascarda,"" you know!"
13-Aug	12:00 PM	Dance Tent	Henry of Maldon	Feats of Feets: Les Branles	"We'll be working on some of the more tricky and interesting branles from Arbeau, such as Aridan and Triory."
13-Aug	1:00 PM	Dance Tent	Judith of Northumbria	"Low, Slow, and Flirtatious: Cupido (15th century Italian)"	"How can one go wrong with a dance entitled “Cupid”? A short, sweet piece that will afford you all of the partner contact that you can handle. Ornamentation and styling briefly discussed. For complete beginners and experienced dancers."
13-Aug	2:00 PM	Dance Tent	Henry of Maldon	Feats of the Feets: La Gaillarde	"This one of the most flamboyant period dances. We'll be brushing up on basic technique for the French gaillarde, and then learning some variations. This is your chance to cut a caper."
13-Aug	3:00 PM	Dance Tent	Judith of Northumbria	Focused Beginner 16th century Italian	Come learn the basics of Italian 16th Century dances.
13-Aug	4:00 PM	Dance Tent	Lyev Davidovitch	Dancing for absolute beginners	"If you can count to four (Step-Step-Step-Close), you can learn just about any dance done in the SCA. Come learn the foundations of dance!"
13-Aug	9:00 PM	Dance Tent	Pennsic Dance Staff	Evening Dance	"See ""Evening Dance"" Wed 11-Aug 9pm"
14-Aug	10:00 AM	Dance Tent	Domenico Barbiere Da Mantova	Children's Dance	"Simple and fun dance for children. Persons 16 or over may only attend if accompanied by a child. No fees, be ready to have fun"
14-Aug	11:00 AM	Dance Tent	Lyev Davidovitch	Bouffons: a French 16th century sword dance	"Sharpen up your work with Bouffons. Learn the Opening Passage, and work with adding the kicks into the choreography. To be followed with a brief discussion on fencing movement in period. See also Beginner’s Bouffons "
14-Aug	12:00 PM	Dance Tent	Henry of Maldon	Footloose and Fancy Free	"Not all documented period dances consisted of routines done by the book. Let's explore of the improvisational side of period dancing. The matter of this class will, of necessity, be a bit more conjectural than is usual for period dancing, but will not stray very far from the sources. The dances will include the courante, piva, and some basic branles. For Beginners"
14-Aug	1:00 PM	Dance Tent	Henry of Maldon	Naughty Courtly Dances	I still haven't found documentation on how to do period lap dancing. So instead we'll be learning some more innocuously naughty dances that include hugging and kissing. For Beginning dancers.
14-Aug	2:00 PM	Dance Tent	Judith of Northumbria	"Low, Slow, and Flirtatious: Giosio Spagnguolo (15th Century Italian)"	"Some like it hot -- and some like it Spanish hot. The dance name means “Joy in the Spanish style”. All steps taught, ornamentation and styling briefly discussed.  For complete beginners as well as experienced dancers."
14-Aug	3:00 PM	Dance Tent	Judith of Northumbria	Introduction to 15th Century Italian Dance	Come learn the basics of Italian 15th Century dances.
14-Aug	4:00 PM	Dance Tent	Judith of Northumbria	Pennsic Ball Prep Class	Learn the dances that will be done at the Pennsic Ball. Specific dances taught will depend on the student's requests.
14-Aug	9:00 PM	Dance Tent	Judith of Northumbria	A Festa in the Court of the Comte	"Sir Gerhardt, Count of the Realm, invites one and all to an evening of merriment in the style of the courts of Firenze, Milano and Mantova.   Come dance, eat, drink, game and delight to your heart’s content!  The Maestra di Balli, the most honourable Lady Judith de Northumbria, will do her utmost to fulfill the terpsichorean desires of his Excellency’s guests --- provided that they be requests appropriate to the great Italian courts of this, the fifteenth century of our Lord."
14-Aug	9:00 PM	Barn	Pennsic Dance Staff	Evening Dance	"See ""Evening Dance"" Wed 11-Aug 9pm"
15-Aug	10:00 AM	Dance Tent	Ellen of York	Intro to 17th Century English Country Dance	"An introduction to English Country Dance. Dances to be taught may include Rufty Tufty, Jenny Pluck Pear and Sellinger's Round."
15-Aug	11:00 AM	Dance Tent	Lowrie Leulyn	More 15th Century Italian Dance: Merchesana	"Marchesana is a lively 15th Century Italian dance, by Domenico. I will go over the necessary basic steps needed to do the dance."
15-Aug	12:00 PM	Dance Tent	Henry of Maldon	One Minute of Madness: Parson's Farewell	"Parson's Farewell is a very short dance, about one minute long at a typical tempo, but it packs a lot of interesting figures into a little time. It's well worth learning, even if it does take a whole hour to learn. For Intermediate dancers."
15-Aug	1:00 PM	Dance Tent	Lyev Davidovitch	Advanced Bouffons: Improve your French sword dancing	"Sharpen up your work with Bouffons. Learn the Opening Passage, and work with adding the kicks into the choreography. To be followed with a brief discussion on fencing movement in period. Some experience with Bouffons necessary."
15-Aug	2:00 PM	Dance Tent	Judith of Northumbria	"Low, Slow, and Flirtatious: Lauro (a Pennsic Ball dance)"	"The title says it all. This dance was composed by Lorenzo de Medici, il Magnifico. For complete beginners as well as experienced dancers; all steps will be taught, and ornamentation and styling briefly discussed."
15-Aug	3:00 PM	Dance Tent	Henry of Maldon	Introduction to the  Inns of Court dances (16th Century English)	Come learn the basics of dances from the Inns of Court manuscripts (English 16th Century).
15-Aug	4:00 PM	Dance Tent	Judith of Northumbria	Pennsic Ball Prep Class	Learn the dances that will be done at the Pennsic Ball. Specific dances taught will depend on the student's requests.
15-Aug	4:00 PM	A&S Tent	Gregory Blount	"The Santucci manuscript, an new dance source"	"Mastro del Ballo"" is the most important dance source discovered in the last century. Come participate in a roundtable discussion of this new source."
15-Aug	9:00 PM	Dance Tent	Henry of Maldon	English Revels	Duchessa Diana Alene Tregirtse invites one and all to an evening of English dancing lead by Lord Henry of Maldon
15-Aug	9:00 PM	Barn	Pennsic Dance Staff	Evening Dance	"See ""Evening Dance"" Wed 11-Aug 9pm"
16-Aug	10:00 AM	Dance Tent	Katherine Mercer	Dance your gender!	"Explore what the 16th century sources say about differences in dance performance, etiquette, and style for men and women.  Some knowledge of 16th century dancing (especially galliards) helpful, but not mandatory."
16-Aug	11:00 AM	Dance Tent	Judith of Northumbria	Lombardy Longways (15th Century Italian)	"Yes, the Italians had longways dances, too, with hays and all of the fun that an English dance has, and more!  Some dance experience recommended, but all steps will be taught.  Dances to be taught: Colonesse, Pizochara."
16-Aug	12:00 PM	Dance Tent	Judith of Northumbria	Playing with your partner	You have the basics down; now learn ways to spice it up and how different music can affect your movement. Exemplar dances will be Rosti Boli Gioioso and Amoroso.  Students should be familiar with these two.  Intermediate difficulty.
16-Aug	1:00 PM	Dance Tent	Lowrie Leulyn	Dance the Carary (16th Century Italian)	"This class will teach the Canary, a 16th Century Italian dance style. Appropriate for folks who have never done the Canary, but know 16th Century Italian dancing. The basic structure of a Canary and variations will be taught."
16-Aug	2:00 PM	Dance Tent	Henry of Maldon	Quick & Easy Dances	"This class is all about dances that are good for waking dancers up and getting them onto the floor. The dances taught will be Petite Riense, branle de Bourgoigne, branle de la Montarde, Rufty Tufty, and New Boe Peep. For Beginners."
16-Aug	3:00 PM	Dance Tent	Henry of Maldon	Introduction to French 16th Century	Come learn the basics of French 16th Century dances.
16-Aug	4:00 PM	Dance Tent	Judith of Northumbria	Pennsic Ball Prep Class	Learn the dances that will be done at the Pennsic Ball. Specific dances taught will depend on the student's requests.
16-Aug	9:00 PM	Dance Tent	Domenico Barbiere Da Mantova	Ballo Della San Lorenzo	"Signore Domenico Barbiere Da Mantova requests the honor of your presence for a ball to honor San Lorenzo, whose feast day is 10 Aug. While there will be many 15th Century Italian dances to lighten your
step, a generous quantity of English Country and French dances will be included. All are welcome from the experienced to the novice dancer."
16-Aug	9:00 PM	Barn	Pennsic Dance Staff	Evening Dance	"See ""Evening Dance"" Wed 11-Aug 9pm"
17-Aug	10:00 AM	Dance Tent	Etienne	Surely You Joust? - The Tournament of Love (16th century Italian)	"So you may ask, what does jousting have to do with dancing? To answer this question, we look at Fabritio Caroso's ""Il Ballarino"" (1581). There are four dances where Caroso mentions doing steps in a jousting manner.  This class will explore one of those dances, Torneo Amoroso."
17-Aug	11:00 AM	Dance Tent	Philip White	Reconstruction Techniques for Dance	"This class discusses the importance of facsimiles, transcriptions, translations, tabulations, and concordances in the reconstruction of dance. A firm understanding of most Renaissance dance styles will allow you to benefit from the full potential of this class, but all are welcome."
17-Aug	12:00 PM	Dance Tent	Henry of Maldon	Fancy Dances Made Simple	"Two of the more interesting and attractive dances done in the SCA are Picking of Sticks and Rostiboli Gioioso. This class will be a relatively simple and practical introduction to these two dances, with an emphasis on learning to get through them in time with the music."
17-Aug	1:00 PM	Dance Tent	Philip White	Reconstruction Practicum: 15th Century Italian (Ebreo)	I will provide you with different exerts of choreography and your challenge will be to reconstruct that excep in smaller groups. We will then compare the groups finished products at the end of the class
17-Aug	2:00 PM	Dance Tent	Philip White	Reconstruction Practicum: 15th Century Burgundian (Toulouze)	I will provide you with different exerts of choreography and your challenge will be to reconstruct that excep in smaller groups. We will then compare the groups finished products at the end of the class
17-Aug	3:00 PM	Dance Tent	Salatatoris Dance Guild	Beginning English Country Dance	"Learn the basic elements of English country dances, according to Playford, then name the dances you'd like to learn, practice, or just dance for fun."
17-Aug	4:00 PM	Dance Tent	Judith of Northumbria	Pennsic Ball Prep Class	Learn the dances that will be done at the Pennsic Ball. Specific dances taught will depend on the student's requests.
17-Aug	9:00 PM	Barn	Lyev Davidovitch	Pennsic Ball	The Honorable Don Lyev Davidovich and THL Judith of Northumbria invite one and all to the Pennsic Ball.
18-Aug	10:00 AM	Dance Tent	Philip White	Reconstruction Practicum: 16th Century English (Inns of Court)	I will provide you with different exerts of choreography and your challenge will be to reconstruct that excep in smaller groups. We will then compare the groups finished products at the end of the class
