Date,Time,Location,Class Name,Teacher,Fee,Limit,Length,Subject
8/09 (Tu) ,10:00 AM,AS10 ,ASHI Community CPR ,Chirurgeonate Instructors ,30,12,7,Health and Safety 
8/09 (Tu) ,10:00 AM,AS11 ,Red Cross Renewal Challenges ,Chirurgeonate Instructors ,10,7,2,Health and Safety
8/10 (We) ,9:00 AM,AS04 ,Castle Stories of Bohemia ,Kazi Enkazi ,0,0,2,Bardic Arts 
8/10 (We) ,9:00 AM,AS14 ,Underwater Basketweaving 101 ,Seelie Brianna Sutherland ,0,0,6,Basketry 
8/10 (We) ,10:00 AM,AS06 ,Anglo-Saxon Food Preparation and Preservation ,Rowena Lindsey ,0,0,1,Culinary Arts 
8/10 (We) ,10:00 AM,AS08 ,Henry VIII: Power and Sentiment in Politics ,Anjuli McDonald of Clanranald ,0,0,2,History 
8/10 (We) ,10:00 AM,AS10 ,ASHI First Aid ,Chirurgeonate Instructors ,20,12,4,Health and Safety 
8/10 (We) ,10:00 AM,AS11 ,Red Cross Adult CPR with AED ,Chirurgeonate Instructors ,20,12,5,Health and Safety 
8/10 (We) ,10:00 AM,Dance ,Dance Floor Assembly ,Adele Desfontaines ,0,0,8,Dance: European 
8/10 (We) ,10:00 AM,Private Camp ,Warp Weighted Loom 1 ,Thora Sharptooth ,0,0,2.5,Fiber Arts: Weaving 
8/10 (We) ,11:00 AM,AS04 ,How To Teach a Class at Pennsic ,Caiterina ingen Ruaidri ,0,0,1,SCA Life 
8/10 (We) ,11:00 AM,AS12 ,Making a Wooden Feast Spoon ,Charles of Westermark ,0,0,6,Woodworking 
8/10 (We) ,12:00 PM,Barn ,Known World Choir at Pennsic ,Erlan Nordenskol ,0,0,2,Music: Vocal 
8/10 (We) ,12:00 PM,Middle Eastern ,What Wre We Talking about in Damascus in the 16th Century ,Scheherazade Allouyna al-Zahira ,0,0,1,Culture: Middle Eastern 
8/10 (We) ,1:00 PM,AS03 ,Making the Medieval PDA: Small books for Belts and Pouches ,Elianora Mathewes ,2,15,2,Miscellaneous Sciences 
8/10 (We) ,1:00 PM,AS09 ,Beginning Netting ,AnneLiese Wolkenhaar ,2.5,10,1,Fiber Arts: Weaving 
8/10 (We) ,1:00 PM,Middle Eastern ,Islamic History ,Chengir Abu ben Said ,0,0,1,History: Religion 
8/10 (We) ,3:00 PM,AS14 ,Basic Renaissance Reproduction Jewelry ,Sara Gedding ,0,0,2,Jewelry 
8/10 (We) ,3:00 PM,Middle Eastern ,Dance of the Drum ,Emyrs ap Morgan ,0,0,1,Dance: Middle Eastern 
8/10 (We) ,3:00 PM,Private Camp ,Period Furniture You Can Build in Your Dorm Room ,Cariadoc of the Bow ,0,0,1,Furnishings 
8/10 (We) ,3:00 PM,Thrown Weapons ,Building a Portable Stand for Rounds ,Thrown Weapons Instructors ,0,0,2,Thrown Weapons 
8/10 (We) ,4:00 PM,AS06 ,Common Courtesy and Being  a Good Member of the Society ,Tristan Alexander ,0,0,1,SCA Life 
8/10 (We) ,4:00 PM,AS09 ,Fealty and Homage Ceremonies ,Alban St. Albans ,0,0,2,History: Chivalry 
8/10 (We) ,4:00 PM,AS11 ,Blood Born Pathogens ,Chirurgeonate Instructors ,0,0,1,Health and Safety 
8/10 (We) ,5:00 PM,AS11 ,Red Cross Renewal Challenges ,Chirurgeonate Instructors ,10,7,2,Health and Safety 
8/10 (We) ,5:00 PM,Thrown Weapons ,Building Easy Spear and Javelin Targets ,Thrown Weapons Instructors ,0,0,1,Thrown Weapons 
8/10 (We) ,6:00 PM,AS13 ,Balancing a Set of Throwing Knives ,Quentin MacGowan ,0,0,1,Thrown Weapons 
8/10 (We) ,9:00 PM,Dance ,Evening Dance ,Pennsic Dance Staff ,0,0,3,Dance: European 
8/11 (Th),12:00 PM,AS06,"Archaeology of Medieval Hama, Syria ",Michael de Safita ,0,0,1,Culture: Middle Eastern 
8/11 (Th) ,8:00 AM,AS09 ,RuneValdr ,Arastorm ,0,0,1,Health and Safety 
8/11 (Th) ,9:00 AM,AS03 ,Calligraphy 101 ,Elsa de Lyon ,0,0,2,Scribal Arts 
8/11 (Th) ,9:00 AM,AS14 ,Norse/Viking Bead Furnace and Beadmaking 1 ,Cynthia de Wickeresham ,0,0,3,Miscellaneous Sciences 
8/11 (Th) ,10:00 AM,AS06 ,Medieval World of Sicily and Cyprus ,Michael de Safita ,0,0,1,Culture: Middle Eastern 
8/11 (Th) ,10:00 AM,AS08 ,Sources for the Islamic Persona: a Discussion ,Cariadoc of the Bow ,0,0,1,Persona 
8/11 (Th) ,10:00 AM,AS09 ,The Tudor Dynasty: Untangling the Myths ,Anjuli McDonald of Clanranald ,0,0,2,History 
8/11 (Th) ,10:00 AM,AS10 ,Red Cross Instructor Bridge Class: Sports Safety Training ,Chirurgeonate Instructors ,40,10,6,Health and Safety 
8/11 (Th) ,10:00 AM,AS11 ,Red Cross Child and Infant CPR ,Chirurgeonate Instructors ,20,12,3,Health and Safety 
8/11 (Th) ,10:00 AM,AS12 ,A Very Basic Sewing/Embroidery Class ,Anna Mailander ,0,20,2,Sewing 
8/11 (Th) ,10:00 AM,AS13 ,Making a Leather Bottle ,Michael of Devonshire ,15,30,2,Leatherwork 
8/11 (Th) ,10:00 AM,Dance ,Cute Cascarde: La Castellana and Lacchio d'Amore ,Adele Desfontaines ,0,0,1,Dance: European 
8/11 (Th) ,10:00 AM,Private Camp ,Weedwalk ,Sadira bint Wassouf ,0,20,2,Herbs and Gardens 
8/11 (Th) ,10:00 AM,Private Camp ,Lets Make a REALLY Spiffy Book 1 ,Alienora Russeal ,0,5,3,Miscellaneous Sciences 
8/11 (Th) ,10:00 AM,Private Camp ,Fabrics 101 ,Maria Pienkneplotno ,2,8,1,Sewing 
8/11 (Th) ,10:00 AM,Thrown Weapons ,Beginning Thrown Weapons ,Thrown Weapons Instructors ,0,25,1.5,Thrown Weapons 
8/11 (Th) ,11:00 AM,AS05 ,Real Dangerous Beauties ,Catriona nicHugh Mclaey ,0,0,1,History: Women 
8/11 (Th) ,11:00 AM,AS08 ,Survey of Early Period Glass Beads ,Cynthia de Wickeresham ,0,0,1,Miscellaneous Sciences 
8/11 (Th) ,11:00 AM,Dance ,Quen Quer Que ,Sion Andreas o Wynedd ,0,0,1,Dance: European 
